anomaly_score_threshold,accuracy,true_positives,true_negatives,false_psoitives,false_negatives
375,0.995534451465346,8.48993288590604,19903.1946308725,67.0805369127517,22.2348993288591
380,0.995584784519163,8.41610738255034,19904.2751677852,66,22.3087248322148
385,0.995635453126673,8.30872483221477,19905.3959731544,64.8791946308725,22.4161073825503
390,0.995688806163719,8.20134228187919,19906.5704697987,63.7046979865772,22.5234899328859
395,0.995743501415533,8.12080536912752,19907.744966443,62.5302013422819,22.6040268456376
400,0.995796183345196,8.04026845637584,19908.8791946309,61.3959731543624,22.6845637583893
405,0.995845174184245,7.95302013422819,19909.9463087248,60.3288590604027,22.7718120805369
410,0.995893829469601,7.89261744966443,19910.9798657718,59.2953020134228,22.8322147651007
415,0.995939464771728,7.81879194630873,19911.966442953,58.3087248322148,22.9060402684564
420,0.99598107342955,7.73825503355705,19912.8791946309,57.3959731543624,22.9865771812081
425,0.996025702070601,7.68456375838926,19913.8255033557,56.4496644295302,23.0402684563758
430,0.996068988496884,7.60402684563759,19914.7718120805,55.503355704698,23.1208053691275
435,0.996111268262091,7.54362416107383,19915.677852349,54.5973154362416,23.1812080536913
440,0.996153548027297,7.49664429530201,19916.5704697987,53.7046979865772,23.2281879194631
445,0.996190794487121,7.42953020134228,19917.3825503356,52.8926174496644,23.2953020134228
450,0.996224685410025,7.39597315436242,19918.0939597315,52.1812080536913,23.3288590604027
455,0.996261931869849,7.32214765100671,19918.9127516779,51.3624161073826,23.4026845637584
460,0.996300520544443,7.26174496644295,19919.744966443,50.5302013422819,23.4630872483222
465,0.996336760343191,7.2013422818792,19920.5302013423,49.744966442953,23.5234899328859
470,0.996378369001013,7.16107382550336,19921.4026845638,48.8724832214765,23.5637583892617
475,0.996407226618535,7.14093959731543,19922,48.2751677852349,23.5838926174497
480,0.996434406467596,7.09395973154362,19922.5906040269,47.6845637583893,23.6308724832215
485,0.99646359963881,7.04697986577181,19923.2214765101,47.0536912751678,23.6778523489933
490,0.996496483900637,7.02013422818793,19923.9060402685,46.3691275167785,23.7046979865772
495,0.996534401467845,6.97986577181207,19924.7046979866,45.5704697986577,23.744966442953
500,0.996564936853828,6.94630872483222,19925.3489932886,44.9261744966443,23.7785234899329
505,0.996590774488121,6.91946308724833,19925.8926174497,44.3825503355705,23.8053691275168
510,0.996614598800262,6.89261744966443,19926.3959731544,43.8791946308725,23.8322147651007
515,0.996648489723165,6.86577181208053,19927.1006711409,43.1744966442953,23.8590604026846
520,0.996673320696381,6.81879194630873,19927.644295302,42.6308724832215,23.9060402684564
525,0.996701171652827,6.76510067114094,19928.2550335571,42.0201342281879,23.9597315436242
530,0.996731707038809,6.73825503355705,19928.8926174497,41.3825503355705,23.986577181208
535,0.996756873565717,6.69127516778524,19929.4429530201,40.8322147651006,24.0335570469799
540,0.99678103343155,6.67114093959732,19929.9463087248,40.3288590604027,24.0536912751678
545,0.996804522189998,6.64429530201342,19930.4429530201,39.8322147651007,24.0805369127517
550,0.996828010948446,6.64429530201342,19930.9127516778,39.3624161073825,24.0805369127517
555,0.996854519690123,6.6241610738255,19931.4630872483,38.8120805369127,24.1006711409396
560,0.996874317357958,6.61073825503356,19931.8724832215,38.4026845637584,24.1140939597315
565,0.996899148331174,6.57046979865772,19932.4093959731,37.8657718120805,24.1543624161074
570,0.996922972643314,6.53691275167785,19932.9194630873,37.3557046979866,24.1879194630873
575,0.996945454740686,6.49664429530202,19933.4093959731,36.8657718120806,24.2281879194631
580,0.996967265730673,6.4496644295302,19933.8926174497,36.3825503355705,24.2751677852349
585,0.996989412274353,6.39597315436242,19934.389261745,35.8859060402684,24.3288590604027
590,0.997010887710648,6.36241610738255,19934.8523489933,35.4228187919463,24.3624161073826
595,0.99703504757648,6.31543624161074,19935.3825503356,34.8926174496644,24.4093959731543
