,station,start_date,end_date,tree_size,nmbr_trees,shingle_size,cod_threshold,mcc,calc_nmbr,phase,r_time,a_type
517,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,150,5,100,0.47789778061663896,38504034,1,696.5542155742645,phase_dif
518,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,15000,100,3,590,0.0,59104520,2,338.9807319800059,SeasDif
519,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,150,3,100,0.5128940534955789,15182050,1,767.0069510579109,phase_dif
520,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,15000,100,5,590,0.0,10312303,2,346.0835789163908,SeasDif
521,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,10000,150,1,590,0.0,22859626,2,255.32060596545537,SeasDif
522,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,200,3,70,0.4647020296852269,59320984,1,683.182556382815,phase_dif
523,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,10000,150,3,590,0.0,62564914,2,255.73772689501442,SeasDif
524,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,15000,200,5,130,0.4684705431222312,48442173,1,701.2148165067036,phase_dif
525,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,10000,150,5,590,0.0,81425900,2,266.23499265114464,SeasDif
526,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,20000,100,1,590,0.0,10863231,2,502.4796641548474,SeasDif
527,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,200,1,590,0.0,9139653,2,161.32743149995804,SeasDif
528,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,20000,100,3,590,0.0,48229914,2,512.3712519367534,SeasDif
529,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,20000,100,5,590,0.0,5199526,2,524.2121420860291,SeasDif
530,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,200,3,590,0.0,62322399,2,176.51217883030574,SeasDif
531,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,5000,200,5,590,0.0,93062887,2,190.3950200835864,SeasDif
532,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,15000,150,1,590,0.0,44736272,2,492.18833483457564,SeasDif
533,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,200,3,100,0.4981078316683961,97645414,1,983.8187527855237,phase_dif
534,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,,20000,200,5,110,0.4942832054966306,53181528,1,1002.1585058689118,phase_dif
535,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,15000,150,3,590,0.0,80672814,2,498.2799739519755,SeasDif
536,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,10000,200,1,590,0.0,47887464,2,336.92002735535306,SeasDif
537,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,15000,150,5,590,0.0,81343653,2,506.1223333358765,SeasDif
538,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,5000,100,1,140,0.08362180118726703,75988109,3,77.38818887472152,StationDif
539,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,10000,200,3,590,0.0,1270227,2,381.1798686623573,SeasDif
540,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,5000,100,3,80,0.038891877365331694,32374095,3,88.98053249120713,StationDif
541,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,5000,100,5,120,0.047201887920237086,10668552,3,90.60780742565792,StationDif
542,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,10000,200,5,590,0.0,14962760,2,387.1486977179845,SeasDif
543,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,10000,100,1,150,0.08577748992467532,24222865,3,160.02295018434523,StationDif
544,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,20000,150,1,590,0.0,84546090,2,655.2310877601304,SeasDif
545,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,10000,100,3,190,0.06323595041668319,37358583,3,173.37588019768398,StationDif
546,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,10000,100,5,150,0.049881840077759226,86863935,3,180.2332839488983,StationDif
547,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,5000,150,1,190,0.10290203976226148,38013181,3,118.94322570562365,StationDif
548,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,20000,150,3,590,0.0,1574193,2,781.7570450941722,SeasDif
549,NW00000000000000BISMARKSTRNV00637,2017-10-16 00:00:00,,20000,150,5,590,0.0,66523026,2,783.5678283452987,SeasDif
550,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,5000,150,3,90,0.04311023505401257,14534745,3,126.1211189508438,StationDif
