,station,start_date,tree_size,number_of_trees,shingle_size,anomaly_score_threshold,mathews_correlation_coefficient,runtime,accuracy
102,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,10000,100,5,590,0.22750475404399,183.7734547019,0.996350182490876
103,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,10000,100,3,590,0.233678092879149,185.760968744755,0.996550172491376
104,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,5000,100,5,590,0.249624661984309,95.9207251747449,0.997050147492625
105,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,5000,150,3,50,0.257255078292641,132.837941292922,0.958502074896255
106,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,5000,200,3,50,0.259361444547585,179.185825089614,0.974001299935003
107,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,5000,200,5,50,0.262247677808125,181.701301892598,0.96235188240588
108,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,5000,150,5,590,0.262258045462104,137.52620651722,0.997350132493375
109,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,5000,100,3,50,0.263347959455615,87.3106282154719,0.961301934903255
110,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,5000,150,5,50,0.272459620657708,133.867911974589,0.974701264936753
111,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,5000,100,5,380,0.276445090197482,90.7305336117745,0.993200339983001
112,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,5000,150,3,590,0.277017028072282,135.854999335607,0.997650117494125
113,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,5000,100,3,590,0.288357369414888,90.2954036275546,0.9978001099945
114,NW000000000000000000000NBSNST0888,2017-05-01 00:00:00,5000,150,1,40,0.294825477753932,34.0199954032898,0.975501224938753
115,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,10000,150,1,590,0.297836598371041,114.710424224536,0.998000099995
116,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,10000,100,1,590,0.30831334014313,75.7533944090207,0.99810009499525
